Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,5/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79599,,12.30696,,11.81793,,11.3289,,10.83987,,10.35084,,9.86181,,9.37278,,8.88375,,8.39472,,8.39472,,
American Samoa,ASM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,4.4,,4.4,,4.4,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.94,,44.93667,,38.93333,,32.93,,26.92667,,26.92667,,26.92667,,,,,,,,,,
Burundi,BDI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.7,,79.7,,77.04306,,71.68054,,66.31802,,60.9555,,55.59298,,50.23046,,44.86794,,39.50542,,36.8,,
Belgium,BEL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.86569,,71.47241,,71.07914,,70.68586,,70.29258,,69.89931,,69.50603,,69.11276,,68.71948,,68.3262,,67.93293,,
Burkina Faso,BFA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.21152,,76.64539,,71.07927,,65.51314,,59.94701,,54.38089,,48.81476,,43.24863,,37.6825,,32.11638,,26.55025,,
Bangladesh,BGD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.31077,,57.66662,,57.02246,,56.3783,,55.73415,,55.08999,,54.44584,,53.80168,,53.15752,,52.51337,,51.86921,,
Bulgaria,BGR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,5.1,,5.1,,4.9,,4.7,,4.5,,4.3,,4,,4,,4,,,,
Belarus,BLR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5584,,16.03017,,14.50194,,12.97371,,11.44548,,9.91726,,8.38903,,6.8608,,5.33257,,3.80434,,2.27611,,
Belize,BLZ,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,,15.76133,,15.75733,,15.75333,,15.74933,,15.74533,,15.74133,,15.73733,,15.73333,,15.72933,,15.72533,,
Bermuda,BMU,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.94489,,55.68105,,53.41721,,51.15337,,48.88953,,46.62568,,46.62568,,46.62568,,,,,,,,
Brazil,BRA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.73978,,31.43266,,28.12555,,24.81844,,21.51132,,18.20421,,14.8971,,14.8971,,14.8971,,,,,,
Barbados,BRB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.69239,,56.56976,,54.44714,,52.32451,,50.20189,,48.07927,,45.95664,,43.83402,,41.71139,,39.58877,,39.6,,
Central African Republic,CAF,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.96516,,83.12315,,80.28114,,77.43913,,74.59712,,71.75511,,68.9131,,68.9131,,68.9131,,,,,,
Canada,CAN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.616,,10.97,,7.324,,7.3,,7.3,,,,,,,,,,,,,,
China,CHN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.07658,,65.53594,,63.9953,,62.45466,,60.91402,,59.37338,,57.83274,,56.2921,,54.75146,,53.21082,,53.21082,,
Cameroon,CMR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3638,,62.0946,,58.8254,,55.55619,,52.28699,,49.01779,,45.74859,,42.47939,,39.21019,,35.94099,,32.67179,,
"Congo, Dem. Rep.",COD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.91424,,71.91424,,72.37482,,73.29596,,74.21711,,75.13825,,76.0594,,76.98054,,77.90169,,78.36226,,
"Congo, Rep.",COG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.80583,,87.80583,,84.68995,,78.45821,,72.22646,,65.99471,,59.76296,,53.53121,,47.29947,,44.18359,,44.18359,,
Colombia,COL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.17683,,19.83238,,18.48794,,17.14349,,15.79905,,14.4546,,13.11016,,11.76571,,10.42127,,9.7,,9.7,,
Comoros,COM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.49449,,65.08643,,65.67836,,66.27029,,66.86223,,67.45416,,68.0461,,68.63803,,68.6,,68.6,,,,
Cabo Verde,CPV,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69593,,11.78091,,10.86589,,9.95087,,9.03585,,8.12083,,7.20581,,6.29079,,5.37577,,4.46075,,3.54573,,
Caribbean small states,CSS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
